timestamp,model,input_tokens,output_tokens,cost_usd,context
2026-06-28T09:31:20,mistral-medium-latest,13088,1692,0.008619,agent
2026-06-28T10:27:37,mistral-medium-latest,6146,456,0.003370,agent
2026-06-28T10:27:43,mistral-medium-latest,12521,481,0.005970,agent
2026-06-28T10:28:03,mistral-medium-latest,14874,850,0.007650,agent
2026-06-28T10:32:13,mistral-medium-latest,14361,1642,0.009028,agent
2026-06-28T10:35:24,mistral-medium-latest,16060,325,0.007074,agent
2026-06-28T10:50:22,mistral-medium-latest,16337,55,0.006645,agent
2026-06-28T10:50:27,mistral-medium-latest,21154,143,0.008748,agent
2026-06-28T10:50:31,mistral-medium-latest,11570,58,0.004744,agent
2026-06-28T10:50:38,mistral-medium-latest,10291,659,0.005434,agent
2026-06-28T10:50:42,mistral-medium-latest,19343,78,0.007893,agent
2026-06-28T10:50:45,mistral-medium-latest,20909,14,0.008392,agent
2026-06-28T10:50:52,mistral-medium-latest,21939,92,0.008960,agent
2026-06-28T10:50:58,mistral-medium-latest,13606,619,0.006680,agent
2026-06-28T10:51:24,mistral-medium-latest,22619,3146,0.015340,agent
2026-06-28T10:52:13,mistral-medium-latest,25828,2249,0.014829,agent
2026-06-28T10:52:41,mistral-medium-latest,28112,2898,0.017041,agent
2026-06-28T10:52:58,mistral-medium-latest,19779,715,0.009342,agent
2026-06-28T10:54:22,mistral-medium-latest,28261,4096,0.019496,agent
2026-06-28T10:54:50,mistral-medium-latest,29938,2683,0.017341,agent
2026-06-28T10:55:40,mistral-medium-latest,31668,2283,0.017233,agent
2026-06-28T10:55:50,mistral-medium-latest,23941,696,0.010968,agent
2026-06-28T10:55:55,mistral-medium-latest,31388,31,0.012617,agent
2026-06-28T10:56:02,mistral-medium-latest,30161,17,0.012098,agent
2026-06-28T10:56:10,mistral-medium-latest,30405,349,0.012860,agent
2026-06-28T10:56:17,mistral-medium-latest,22072,777,0.010383,agent
2026-06-28T10:56:44,mistral-medium-latest,31241,975,0.014446,agent
2026-06-28T13:51:21,mistral-medium-latest,13541,102,0.005620,agent
2026-06-28T13:51:23,mistral-medium-latest,4359,140,0.002024,agent
2026-06-28T13:51:25,mistral-medium-latest,4548,58,0.001935,agent
2026-06-28T13:51:27,mistral-medium-latest,4645,60,0.001978,agent
2026-06-28T13:51:30,mistral-medium-latest,9669,191,0.004250,agent
2026-06-28T14:22:08,mistral-medium-latest,100,50,0.000140,test
2026-06-28T18:04:08,mistral-medium-latest,13487,4,0.005403,agent
2026-06-28T18:05:53,mistral-medium-latest,3129,43,0.001338,agent
2026-06-28T18:07:31,mistral-medium-latest,2930,2,0.001176,agent
2026-06-28T18:07:43,mistral-medium-latest,2971,10,0.001208,agent
2026-06-28T18:12:11,mistral-medium-latest,3533,20,0.001453,agent
2026-06-28T18:32:03,codestral-latest,12,34,0.000073,fim
2026-06-28T18:32:04,codestral-latest,12,34,0.000073,fim
2026-06-28T18:33:51,pixtral-large-latest,82,33,0.000362,vision
2026-06-28T18:43:19,mistral-medium-latest,2818,2971,0.007069,agent
2026-06-28T18:45:43,mistral-medium-latest,8639,242,0.003940,agent
2026-06-28T18:46:20,mistral-medium-latest,9822,31,0.003991,agent
2026-06-28T18:46:23,mistral-medium-latest,11493,48,0.004693,agent
2026-06-28T18:46:25,mistral-medium-latest,9906,47,0.004056,agent
2026-06-28T18:46:29,mistral-medium-latest,4433,255,0.002283,agent
2026-06-28T18:46:32,mistral-medium-latest,13446,45,0.005468,agent
2026-06-28T18:46:34,mistral-medium-latest,14875,55,0.006060,agent
2026-06-28T18:46:39,mistral-medium-latest,16305,80,0.006682,agent
2026-06-28T18:46:46,mistral-medium-latest,7607,279,0.003601,agent
2026-06-28T18:46:49,mistral-medium-latest,16388,80,0.006715,agent
2026-06-28T18:46:52,mistral-medium-latest,18093,62,0.007361,agent
2026-06-28T18:46:59,mistral-medium-latest,18903,75,0.007711,agent
2026-06-28T18:47:03,mistral-medium-latest,10461,352,0.004888,agent
2026-06-28T18:47:07,mistral-medium-latest,19571,92,0.008012,agent
2026-06-28T18:47:11,mistral-medium-latest,20583,62,0.008357,agent
2026-06-28T18:47:17,mistral-medium-latest,20887,71,0.008497,agent
2026-06-28T18:47:28,mistral-medium-latest,12189,385,0.005646,agent
2026-06-28T18:47:32,mistral-medium-latest,21056,62,0.008546,agent
2026-06-28T18:47:35,mistral-medium-latest,21731,73,0.008838,agent
2026-06-28T18:47:48,mistral-medium-latest,22718,421,0.009929,agent
2026-06-28T18:47:54,mistral-medium-latest,23253,380,0.010061,agent
2026-06-28T18:49:10,mistral-medium-latest,10402,43,0.004247,agent
2026-06-28T18:49:14,mistral-medium-latest,10205,31,0.004144,agent
2026-06-28T18:49:16,mistral-medium-latest,9503,38,0.003877,agent
2026-06-28T18:49:18,mistral-medium-latest,4660,171,0.002206,agent
2026-06-28T18:49:22,mistral-medium-latest,12734,38,0.005170,agent
2026-06-28T18:49:24,mistral-medium-latest,12869,49,0.005246,agent
2026-06-28T18:49:27,mistral-medium-latest,13438,46,0.005467,agent
2026-06-28T18:49:32,mistral-medium-latest,5595,256,0.002750,agent
2026-06-28T18:49:35,mistral-medium-latest,13976,49,0.005688,agent
2026-06-28T18:49:38,mistral-medium-latest,14213,49,0.005783,agent
2026-06-28T18:49:44,mistral-medium-latest,14527,190,0.006191,agent
2026-06-28T18:49:47,mistral-medium-latest,6462,142,0.002869,agent
2026-06-28T18:49:50,mistral-medium-latest,12692,190,0.005457,agent
2026-06-28T18:49:54,mistral-medium-latest,12932,236,0.005645,agent
2026-06-28T18:50:01,mistral-medium-latest,15282,49,0.006211,agent
2026-06-28T18:50:04,mistral-medium-latest,15393,47,0.006251,agent
2026-06-28T18:50:09,mistral-medium-latest,15646,233,0.006724,agent
2026-06-28T18:54:14,mistral-medium-latest,10378,31,0.004213,agent
2026-06-28T18:54:18,mistral-medium-latest,12113,33,0.004911,agent
2026-06-28T18:54:21,mistral-medium-latest,9761,32,0.003968,agent
2026-06-28T18:54:24,mistral-medium-latest,4918,237,0.002441,agent
2026-06-28T18:54:27,mistral-medium-latest,13197,38,0.005355,agent
2026-06-28T18:54:31,mistral-medium-latest,13330,48,0.005428,agent
2026-06-28T18:54:33,mistral-medium-latest,13964,54,0.005694,agent
2026-06-28T18:54:36,mistral-medium-latest,5982,270,0.002933,agent
2026-06-28T18:54:41,mistral-medium-latest,14453,64,0.005909,agent
2026-06-28T18:54:45,mistral-medium-latest,15843,48,0.006433,agent
2026-06-28T18:54:47,mistral-medium-latest,16313,48,0.006621,agent
2026-06-28T18:54:57,mistral-medium-latest,8172,464,0.004197,agent
2026-06-28T18:55:01,mistral-medium-latest,16379,48,0.006648,agent
2026-06-28T18:55:05,mistral-medium-latest,16719,48,0.006784,agent
2026-06-28T18:55:08,mistral-medium-latest,17122,48,0.006945,agent
2026-06-28T18:55:15,mistral-medium-latest,9439,416,0.004608,agent
2026-06-28T18:55:20,mistral-medium-latest,17384,48,0.007050,agent
2026-06-28T18:55:22,mistral-medium-latest,18026,48,0.007306,agent
2026-06-28T18:55:29,mistral-medium-latest,18260,410,0.008124,agent
2026-06-28T18:55:42,mistral-medium-latest,19450,316,0.008412,agent
2026-06-28T18:57:05,mistral-medium-latest,11361,38,0.004620,agent
2026-06-28T18:57:08,mistral-medium-latest,10902,33,0.004427,agent
2026-06-28T18:57:10,mistral-medium-latest,12218,64,0.005015,agent
2026-06-28T18:57:16,mistral-medium-latest,5123,241,0.002531,agent
2026-06-28T18:57:18,mistral-medium-latest,12514,64,0.005134,agent
2026-06-28T18:57:20,mistral-medium-latest,14117,49,0.005745,agent
2026-06-28T18:57:24,mistral-medium-latest,15268,48,0.006203,agent
2026-06-28T18:57:35,mistral-medium-latest,8177,504,0.004279,agent
2026-06-28T18:57:38,mistral-medium-latest,16521,48,0.006704,agent
2026-06-28T18:57:41,mistral-medium-latest,16963,48,0.006881,agent
2026-06-28T18:57:43,mistral-medium-latest,17643,53,0.007163,agent
2026-06-28T18:57:50,mistral-medium-latest,9863,467,0.004879,agent
2026-06-28T18:57:53,mistral-medium-latest,19220,53,0.007794,agent
2026-06-28T18:57:58,mistral-medium-latest,19756,48,0.007998,agent
2026-06-28T18:58:01,mistral-medium-latest,20121,58,0.008164,agent
2026-06-28T18:58:14,mistral-medium-latest,11291,526,0.005568,agent
2026-06-28T18:58:17,mistral-medium-latest,19560,58,0.007940,agent
2026-06-28T18:58:36,mistral-medium-latest,21220,550,0.009588,agent
2026-06-28T18:58:47,mistral-medium-latest,22805,452,0.010026,agent
2026-06-28T19:28:17,mistral-medium-latest,10769,33,0.004374,agent
2026-06-28T19:28:20,mistral-medium-latest,12085,64,0.004962,agent
2026-06-28T19:28:21,mistral-medium-latest,8948,48,0.003675,agent
2026-06-28T19:28:27,mistral-medium-latest,6593,320,0.003277,agent
2026-06-28T19:28:32,mistral-medium-latest,14816,49,0.006024,agent
2026-06-28T19:28:35,mistral-medium-latest,15967,48,0.006483,agent
2026-06-28T19:28:40,mistral-medium-latest,16534,48,0.006710,agent
2026-06-28T19:28:49,mistral-medium-latest,8691,410,0.004296,agent
2026-06-28T19:28:51,mistral-medium-latest,17735,48,0.007190,agent
2026-06-28T19:28:54,mistral-medium-latest,18297,48,0.007415,agent
2026-06-28T19:29:04,mistral-medium-latest,18775,301,0.008112,agent
2026-06-28T19:29:26,mistral-medium-latest,19310,972,0.009668,agent
2026-06-28T19:29:34,mistral-medium-latest,20193,177,0.008431,agent
2026-06-28T19:29:39,mistral-medium-latest,20419,48,0.008264,agent
2026-06-28T19:29:42,mistral-medium-latest,18949,46,0.007672,agent
2026-06-28T19:29:53,mistral-medium-latest,11699,158,0.004996,agent
2026-06-28T19:29:56,mistral-medium-latest,18399,41,0.007442,agent
2026-06-28T19:30:01,mistral-medium-latest,18578,41,0.007513,agent
2026-06-28T19:30:04,mistral-medium-latest,18655,48,0.007558,agent
2026-06-28T19:30:12,mistral-medium-latest,12173,183,0.005235,agent
2026-06-28T19:30:19,mistral-medium-latest,19137,48,0.007751,agent
